V,E,A,FB,NER,MB,RHO,SVD,MSE
10,10,-4.930264125612311e-34,4.679965137383439,0.0,0,0.0,0.0,0.0
10,10,0.07866328641819477,2.4978456100068533,0.9305555555555556,3,0.0,0.0,0.0
10,10,9.994726799445643e-16,2.4198804345889418,0.9104477611940298,5,0.0,0.0,0.0
10,10,-0.2983048267585001,2.6499340054398046,0.8157894736842105,7,0.4395375188193995,0.4395375188194208,0.0
10,10,-0.45744186479035465,1.3172147263451823,0.8,4,3.0674380814322646,3.0674380814322895,0.028985507246376812
10,10,-1.4922592316553844,1.8667945976084515,0.7321428571428571,6,1.3957543298795514,1.3957543298795656,0.011764705882352941
10,10,-0.1197216924740393,1.6321967043564731,0.6078431372549019,6,0.9795518873807367,0.979551887380687,0.031746031746031744
10,10,-0.12693421775807623,2.1858864427325804,0.6,7,1.1008597415194714,1.1008597415194714,0.028985507246376812
10,10,0.35974676667017347,2.248973154680336,0.5909090909090909,7,1.7394644363747105,1.7394644363747922,0.0
10,10,-1.0066257007566783,2.4156901334579945,0.5671641791044776,6,4.312601823390356,4.312601823390327,0.009389671361502348
10,10,0.5046572861771328,2.6358325840870607,0.5641025641025641,8,4.053886403729475,4.053886403729429,0.015748031496062992
10,10,-1.713693462081548,2.3378413186823965,0.5,7,3.979134275010715,3.979134275010665,0.027777777777777776
10,10,-1.3060411205036653,2.6289039939601357,0.2702702702702703,7,2.739144145435496,2.7391441454354393,0.013793103448275862
10,10,-0.5407612718430123,2.0630650630512304,0.40350877192982454,6,1.291992416475253,1.2919924164752068,0.009389671361502348
10,10,-0.22468387365814058,2.4332632500889297,0.3698630136986301,7,5.806234161192101,5.806234161192055,0.01809954751131222
10,10,-0.8875631785212624,2.3392338117235836,0.29577464788732394,7,4.060816595191795,4.06081659519171,0.00851063829787234
10,10,0.09662726315998146,2.24070854598213,0.15384615384615385,6,0.5366795483854787,0.5366795483855071,0.0
10,10,-0.02125760532048682,1.8481147839244128,0.1016949152542373,4,0.315409142730509,0.31540914273051257,0.014134275618374558
10,10,1.1450293464694705e-15,2.0033807534507297,0.0625,3,0.0,0.0,0.0
10,10,4.3105954890329685e-16,1.9207703423360756,0.06451612903225806,3,0.0,0.0,0.0
10,10,0.055392292938416715,2.4239171551121728,1.0,0,0.0,0.0,0.0
8,8,-1.9205597041030568e-16,1.0111866347405498,0.0,0,0.0,0.0,0.0
8,8,0.033735352292350904,1.1953807365958742,0.96875,1,0.0,0.0,0.0
8,8,0.06796294547875276,1.2328686769166761,0.875,2,0.14220299378605183,0.1422029937860536,0.02
8,8,-0.2571606685720877,1.2353679935498714,0.84375,2,1.597683992222306,1.5976839922223185,0.016666666666666666
8,8,0.37887644664536047,0.9114707568988718,0.78125,5,1.0267897929175618,1.0267897929175493,0.05263157894736842
8,8,0.14791323665965248,0.6997947641828901,0.65625,5,1.120787053955322,1.1207870539553237,0.0
8,8,0.15990555834691034,0.7133543830112374,0.53125,5,1.7755095745748672,1.775509574574837,0.022727272727272728
8,8,0.06654325096109968,0.6610777065693451,0.625,4,0.9488207379649687,0.9488207379649403,0.06818181818181818
8,8,0.5805961863965944,1.195087777881907,0.46875,5,0.9908340585211928,0.990834058521175,0.02631578947368421
8,8,0.004338945188836057,1.0937401601969896,0.53125,5,2.2743265355701734,2.2743265355701325,0.045454545454545456
8,8,-0.5026887154511442,1.2843439828047325,0.65625,5,2.895032107250797,2.8950321072507865,0.043478260869565216
8,8,0.2860801547791255,1.5653303208412641,0.4375,4,0.654410990300109,0.6544109903001232,0.05
8,8,0.26623436020016,1.2533713153858745,0.4375,5,0.9812649997230718,0.9812649997230611,0.07142857142857142
8,8,-0.5531641565069108,0.7084088680029959,0.34375,5,0.7852751345876818,0.7852751345876978,0.025
8,8,-0.2125574288980154,1.2443951442418313,0.375,4,1.384796226233286,1.3847962262332807,0.045454545454545456
8,8,-0.7283209269237964,1.1592422012360717,0.21875,4,1.142240311004496,1.1422403110044765,0.041666666666666664
8,8,0.28669642803322387,1.1627222813620606,0.1875,5,1.9870118792754905,1.9870118792754852,0.045454545454545456
8,8,-0.19496179533804442,1.0944006741504493,0.1875,4,1.287473834368118,1.2874738343681091,0.043478260869565216
8,8,0.0740332892308526,0.7086372318956293,0.09375,2,0.2868491139664471,0.28684911396642576,0.019230769230769232
8,8,0.02095466681523627,1.2185760321192889,0.0625,2,0.0,0.0,0.0
8,8,0.19173181209008647,1.3012889828920553,1.0,0,0.0,0.0,0.0
6,3,-3.120958115628782e-16,0.6227971460270415,0.0,0,0.0,0.0,0.0
6,3,-4.042267538917215e-16,0.6227971460270425,0.0,0,0.0,0.0,0.0
6,3,-8.77203319737976e-18,0.9384742030516515,0.0,0,0.0,0.0,0.0
6,3,-3.231579971571357e-16,0.6227971460270418,0.0,0,0.0,0.0,0.0
6,3,-8.060146698008921e-16,0.93847420305165,0.6428571428571429,0,0.0,0.0,0.0
6,3,-0.5615528128088303,0.9384742030516522,0.7142857142857143,2,0.8284271247461952,0.8284271247461881,0.05
6,3,-0.5589133878061413,0.6227971460270423,0.6666666666666666,2,0.5015845424164693,0.5015845424164782,0.0625
6,3,-0.3545426837240206,0.9384742030516497,0.5,2,0.37270494245793095,0.37270494245793184,0.045454545454545456
6,3,-5.435459548320072e-17,0.9384742030516513,0.5,0,0.0,0.0,0.0
6,3,3.697785493223493e-31,0.9384742030516509,0.5714285714285714,2,0.0,0.0,0.0
6,3,-1.2882696656061593e-15,1.2679491924311221,0.42857142857142855,1,0.0,0.0,0.0
6,3,-2.132313711824545e-16,0.938474203051652,0.35714285714285715,1,0.0,0.0,0.0
6,3,-0.35454268372402015,0.9384742030516509,0.35714285714285715,2,0.3727049424579345,0.37270494245793007,0.045454545454545456
6,3,-0.5615528128088295,0.9384742030516511,0.42857142857142855,2,0.8284271247461961,0.828427124746189,0.05
